iter	RMSE
0	60950.88765
1	60479.79336
2	60357.67075
3	60250.16118
4	60119.15249
5	59810.29402
6	59437.20698
7	59329.47959
8	59138.84584
9	59053.08957
10	58973.59542
11	58909.51128
12	58830.86214
13	58610.25076
14	58534.47704
15	58236.04231
16	58180.26777
17	58107.9348
18	57956.40651
19	57906.0505
20	57837.08484
21	57777.63663
22	57451.85813
23	57408.95644
24	57375.20731
25	57327.48991
26	56993.47769
27	56928.67924
28	56706.81034
29	56556.54128
30	56523.44484
31	56490.24943
32	56452.6522
33	56418.4957
34	56383.99518
35	56354.13014
36	56116.66829
37	55842.59603
38	55790.44956
39	55751.64079
40	55547.32761
41	55386.61037
42	55103.12178
43	54908.59148
44	54726.3879
45	54680.35277
46	54654.25788
47	54561.72837
48	54450.82685
49	54414.41512
50	54353.5076
51	54205.92521
52	54108.52587
53	54069.44944
54	54051.31431
55	54023.80974
56	53998.3263
57	53902.59081
58	53865.1881
59	53839.64607
60	53825.66593
61	53790.77353
62	53617.3381
63	53598.32642
64	53580.43245
65	53539.95729
66	53452.9786
67	53272.29906
68	53240.8765
69	53076.54063
70	53034.29037
71	52965.60448
72	52883.72846
73	52852.55599
74	52666.20672
75	52625.75603
76	52603.52385
77	52591.9246
78	52564.85146
79	52434.57164
80	52374.62891
81	52353.76498
82	52336.33561
83	52318.58299
84	52284.41297
85	52271.25004
86	52201.56708
87	52187.00143
88	52114.9616
89	52084.34894
90	52061.4541
91	52000.12505
92	51956.97066
93	51807.97303
94	51687.5295
95	51667.86558
96	51594.02855
97	51575.29986
98	51553.406
99	51457.9716
100	51379.44493
101	51353.91599
102	51331.29414
103	51301.94726
104	51243.66036
105	51211.57315
106	51182.96549
107	51121.87012
108	51102.40146
109	51089.28132
110	51068.91802
111	51010.44146
112	50975.35525
113	50953.0532
114	50941.85794
115	50934.51559
116	50860.1932
117	50786.6871
118	50766.71346
119	50731.10164
120	50702.11189
121	50612.58774
122	50599.17469
123	50579.56895
124	50539.21852
125	50454.93225
126	50433.83741
127	50412.71035
128	50375.91827
129	50361.86935
130	50351.84335
131	50290.80332
132	50204.46732
133	50181.01968
134	50098.68506
135	50092.24574
136	49973.1945
137	49959.45883
138	49922.8256
139	49896.20266
140	49820.4448
141	49742.87807
142	49718.29744
143	49708.37757
144	49688.9964
145	49678.82197
146	49657.04158
147	49528.66531
148	49510.83972
149	49454.23541
150	49450.90762
151	49370.45132
152	49334.18839
153	49316.91901
154	49283.13912
155	49192.78101
156	49172.42188
157	49117.99725
158	49052.81088
159	49016.68834
160	48974.13357
161	48933.48471
162	48864.21335
163	48833.52362
164	48816.58115
165	48778.87128
166	48740.72295
167	48728.42582
168	48718.52271
169	48691.19723
170	48607.2536
171	48504.90555
172	48491.49765
173	48474.83228
174	48460.47383
175	48390.72465
176	48359.36059
177	48269.8444
178	48251.23394
179	48202.15977
180	48184.77728
181	48165.17114
182	48059.52294
183	47989.64153
184	47937.4368
185	47872.63421
186	47849.80238
187	47787.77562
188	47766.18928
189	47752.57215
190	47699.54379
191	47607.19718
192	47556.65051
193	47506.01992
194	47487.81216
195	47431.191
196	47399.37331
197	47378.78924
198	47354.15438
199	47336.24244
200	47289.20821
201	47272.38186
202	47224.01394
203	47164.67073
204	47122.45084
205	47095.17548
206	47044.03675
207	46995.65695
208	46978.5788
209	46892.02429
210	46821.79156
211	46809.95007
212	46793.80176
213	46696.95522
214	46646.42502
215	46595.60471
216	46582.64423
217	46569.44088
218	46557.7504
219	46541.24618
220	46462.01769
221	46446.17813
222	46396.66648
223	46354.38217
224	46336.70942
225	46264.20842
226	46253.11449
227	46241.14916
228	46172.32338
229	46130.47045
230	46117.25224
231	46103.90271
232	46060.68797
233	46045.03938
234	46015.25646
235	46002.19139
236	45964.32744
237	45951.00175
238	45857.83457
239	45769.81503
240	45733.96351
241	45704.88741
242	45654.8792
243	45603.38707
244	45560.38801
245	45520.36383
246	45492.22419
247	45413.6129
248	45384.08141
249	45307.7313
250	45210.3636
251	45153.52437
252	45131.90855
253	45084.67749
254	45038.72901
255	44991.39657
256	44959.76476
257	44947.21152
258	44914.90726
259	44859.13934
260	44813.19471
261	44803.55931
262	44773.57709
263	44756.02921
264	44717.79959
265	44662.33227
266	44577.8554
267	44553.57024
268	44509.28114
269	44480.19414
270	44440.1379
271	44390.46979
272	44355.13466
273	44311.51211
274	44275.40814
275	44237.49957
276	44220.83545
277	44188.72964
278	44116.06356
279	44048.99254
280	43999.33863
281	43989.10602
282	43953.90705
283	43942.15018
284	43911.18154
285	43860.10425
286	43821.90396
287	43774.5307
288	43743.16746
289	43687.5939
290	43639.35431
291	43615.1839
292	43587.91101
293	43553.69478
294	43507.66155
295	43462.21505
296	43418.79933
297	43369.63319
298	43316.19016
299	43258.94431
300	43222.2742
301	43195.30333
302	43159.16029
303	43107.42262
304	43073.39024
305	43028.33312
306	43011.74666
307	43004.02453
308	42928.12507
309	42883.94577
310	42844.81318
311	42806.89689
312	42774.86109
313	42732.46518
314	42725.78928
315	42699.24095
316	42667.57842
317	42633.65285
318	42585.78001
319	42545.00959
320	42505.87911
321	42478.32285
322	42443.10186
323	42403.96707
324	42375.40325
325	42344.05449
326	42314.81536
327	42308.89898
328	42281.01757
329	42253.39867
330	42216.2932
331	42156.69782
332	42122.44901
333	42073.71853
334	42042.31524
335	42015.56669
336	41979.15375
337	41954.49875
338	41920.08635
339	41881.74062
340	41863.38136
341	41817.48786
342	41792.41063
343	41758.59397
344	41742.61446
345	41716.24001
346	41706.0128
347	41678.57574
348	41651.17296
349	41630.25267
350	41605.12909
351	41580.89111
352	41514.42069
353	41470.16296
354	41444.36971
355	41420.74393
356	41382.75066
357	41358.85302
358	41352.24237
359	41343.65013
360	41305.92876
361	41270.38809
362	41251.57581
363	41226.21467
364	41207.67368
365	41182.8422
366	41145.30929
367	41122.08877
368	41086.25744
369	41062.49274
370	41030.57738
371	41005.36473
372	40976.61244
373	40959.23607
374	40906.69805
375	40879.39358
376	40853.26854
377	40845.30327
378	40797.11481
379	40746.81909
380	40713.99467
381	40691.76827
382	40645.04119
383	40637.48982
384	40631.55324
385	40572.0519
386	40524.8183
387	40502.10682
388	40456.77362
389	40434.69876
390	40395.09779
391	40367.00644
392	40345.75326
393	40327.54933
394	40303.17223
395	40282.35268
396	40265.90059
397	40225.8346
398	40202.5556
399	40181.45035
400	40116.81987
401	40056.26284
402	40036.21057
403	40004.82434
404	39964.21327
405	39934.50318
406	39896.22183
407	39888.63241
408	39869.12441
409	39856.73345
410	39838.17696
411	39823.01985
412	39783.46204
413	39764.92747
414	39752.14941
415	39733.40412
416	39718.84546
417	39660.88799
418	39635.52344
419	39606.72958
420	39598.47669
421	39579.70165
422	39563.44115
423	39533.45756
424	39520.63546
425	39490.67394
426	39455.62134
427	39447.67441
428	39430.37415
429	39417.64705
430	39402.52021
431	39365.67925
432	39352.98162
433	39336.57549
434	39307.65135
435	39284.04668
436	39256.41319
437	39221.68883
438	39189.69192
439	39153.41701
440	39114.09367
441	39073.1616
442	39031.58489
443	39007.33493
444	38988.17913
445	38983.3482
446	38955.13643
447	38939.10951
448	38905.66892
449	38866.84884
450	38856.83622
451	38829.70962
452	38804.54361
453	38776.68409
454	38770.53799
455	38745.80301
456	38731.58549
457	38694.37412
458	38681.8976
459	38654.04717
460	38646.76596
461	38607.10645
462	38569.34628
463	38561.58063
464	38530.5695
465	38506.87783
466	38477.55605
467	38428.12604
468	38416.27926
469	38364.71444
470	38347.26765
471	38320.2006
472	38310.98651
473	38265.34939
474	38216.85725
475	38200.31087
476	38178.93504
477	38154.72939
478	38147.87827
479	38135.34196
480	38109.74782
481	38091.94013
482	38066.13079
483	38030.72952
484	38009.43761
485	37996.25997
486	37977.049
487	37965.62256
488	37952.55267
489	37937.37605
490	37905.92052
491	37892.18404
492	37844.84015
493	37838.93626
494	37825.86255
495	37816.15417
496	37770.70174
497	37758.13188
498	37746.38697
499	37730.26522
500	37723.90923
501	37696.33477
502	37679.03353
503	37667.54238
504	37656.54121
505	37633.55571
506	37610.12433
507	37588.35047
508	37556.88775
509	37525.56129
510	37517.0205
511	37507.96597
512	37495.48843
513	37489.35474
514	37465.59698
515	37423.19213
516	37393.79809
517	37346.11911
518	37323.31229
519	37302.08582
520	37273.97262
521	37251.97792
522	37225.37596
523	37203.1507
524	37192.30639
525	37188.472
526	37183.86236
527	37153.39097
528	37149.53006
529	37128.84645
530	37121.11156
531	37093.46439
532	37043.48888
533	37029.57089
534	37025.99428
535	36983.09857
536	36980.3062
537	36956.76811
538	36917.64776
539	36892.47896
540	36873.16304
541	36852.16813
542	36849.48486
543	36824.02951
544	36782.95331
545	36763.49138
546	36752.85044
547	36741.84763
548	36711.80383
549	36702.98278
550	36692.45448
551	36681.34287
552	36643.19887
553	36640.3301
554	36634.17569
555	36625.23124
556	36622.7069
557	36600.68255
558	36579.98965
559	36571.45181
560	36533.16802
561	36520.68081
562	36483.79842
563	36448.62179
564	36432.42139
565	36420.23818
566	36406.71446
567	36390.78782
568	36381.55784
569	36357.43196
570	36351.14906
571	36322.7179
572	36292.76324
573	36280.97415
574	36245.58383
575	36237.34009
576	36217.46165
577	36209.81279
578	36198.83422
579	36169.60476
580	36161.79682
581	36139.24005
582	36131.39112
583	36122.07718
584	36095.70351
585	36085.56513
586	36051.64513
587	36036.1798
588	36027.17472
589	36019.77693
590	35975.7094
591	35964.66986
592	35942.18262
593	35907.01784
594	35873.23485
595	35851.51497
596	35840.93482
597	35831.93929
598	35811.62917
599	35790.67831
600	35758.53532
601	35756.26507
602	35746.37074
603	35723.93926
604	35703.77837
605	35679.02073
606	35659.81113
607	35638.90466
608	35623.38262
609	35602.53491
610	35588.4347
611	35583.07067
612	35572.80743
613	35546.00981
614	35516.15686
615	35513.96259
616	35493.73255
617	35484.10413
618	35466.45411
619	35435.29588
620	35425.4211
621	35411.86778
622	35403.27231
623	35398.33034
624	35389.89413
