iter	Passed	Remaining
0	8	8289
1	16	8196
2	19	6463
3	23	5865
4	27	5563
5	30	5115
6	34	4864
7	38	4800
8	42	4627
9	44	4433
10	49	4435
11	51	4255
12	54	4110
13	56	3987
14	59	3908
15	63	3884
16	65	3788
17	68	3720
18	70	3646
19	73	3577
20	75	3510
21	77	3453
22	80	3424
23	83	3381
24	85	3342
25	88	3297
26	90	3258
27	92	3225
28	96	3216
29	99	3202
30	101	3169
31	103	3138
32	106	3110
33	108	3082
34	110	3054
35	113	3046
36	116	3040
37	119	3021
38	121	2997
39	124	2976
40	126	2959
41	130	2982
42	133	2961
43	135	2942
44	137	2923
45	140	2904
46	142	2885
47	144	2872
48	150	2922
49	152	2904
50	155	2889
51	157	2872
52	160	2865
53	162	2853
54	165	2839
55	170	2869
56	172	2858
57	186	3025
58	188	3011
59	191	2996
60	193	2984
61	197	2991
62	200	2976
63	202	2960
64	204	2946
65	207	2934
66	209	2921
67	212	2909
68	214	2895
69	218	2903
70	220	2891
71	223	2880
72	225	2867
73	228	2863
74	231	2851
75	233	2840
76	235	2828
77	238	2825
78	241	2813
79	243	2803
80	246	2792
81	248	2781
82	252	2788
83	255	2786
84	258	2780
85	260	2770
86	263	2760
87	265	2749
88	267	2741
89	270	2731
90	272	2722
91	275	2723
92	278	2714
93	280	2705
94	283	2698
95	287	2708
96	290	2700
97	295	2718
98	298	2715
99	300	2706
100	303	2701
101	307	2707
102	313	2730
103	319	2754
104	327	2787
105	333	2816
106	340	2845
107	347	2871
108	353	2893
109	360	2917
110	367	2943
111	371	2947
112	375	2948
113	382	2972
114	390	3002
115	395	3014
116	401	3031
117	404	3021
118	406	3011
119	409	3001
120	413	3007
121	421	3030
122	424	3028
123	427	3018
124	430	3012
125	432	3002
126	436	3003
127	439	2995
128	443	2996
129	447	2994
130	454	3016
131	457	3009
132	460	2999
133	465	3011
134	468	3004
135	471	2994
136	473	2984
137	476	2976
138	478	2966
139	484	2973
140	486	2964
141	491	2972
142	496	2975
143	499	2970
144	507	2991
145	514	3007
146	518	3010
147	525	3026
148	532	3042
149	539	3058
150	544	3064
151	552	3081
152	557	3088
153	560	3078
154	562	3068
155	565	3059
156	567	3049
157	571	3043
158	573	3033
159	575	3023
160	578	3013
161	580	3004
162	583	2994
163	585	2984
164	587	2972
165	589	2963
166	592	2954
167	594	2944
168	597	2936
169	599	2928
170	602	2921
171	607	2926
172	617	2953
173	624	2962
174	626	2953
175	629	2945
176	631	2936
177	634	2928
178	636	2919
179	639	2911
180	642	2905
181	644	2897
182	647	2888
183	649	2879
184	652	2875
185	655	2866
186	657	2858
187	659	2850
188	662	2843
189	664	2834
190	667	2827
191	669	2819
192	672	2811
193	674	2803
194	677	2795
195	679	2788
196	682	2781
197	684	2773
198	687	2766
199	689	2758
200	694	2762
201	697	2756
202	705	2768
203	707	2761
204	710	2755
205	713	2751
206	716	2744
207	718	2737
208	721	2729
209	726	2733
210	730	2732
211	733	2724
212	735	2717
213	737	2710
214	740	2703
215	743	2697
216	746	2692
217	749	2688
218	752	2681
219	754	2674
220	756	2667
221	759	2661
222	761	2654
223	764	2647
224	766	2640
225	768	2633
226	771	2626
227	774	2622
228	776	2615
229	780	2611
230	782	2606
231	785	2600
232	787	2593
233	790	2586
234	793	2582
235	796	2577
236	798	2571
237	801	2565
238	803	2559
239	806	2553
240	808	2547
241	811	2540
242	813	2534
243	815	2528
244	820	2528
245	827	2535
246	833	2540
247	835	2534
248	838	2528
249	840	2522
250	843	2516
251	846	2513
252	849	2508
253	851	2502
254	858	2507
255	860	2501
256	863	2495
257	866	2491
258	868	2485
259	871	2479
260	873	2473
261	875	2467
262	878	2461
263	880	2455
264	883	2449
265	885	2444
266	888	2438
267	890	2432
268	892	2426
269	895	2422
270	898	2416
271	900	2410
272	903	2405
273	907	2405
274	910	2400
275	913	2395
276	915	2389
277	917	2383
278	920	2378
279	922	2373
280	925	2367
281	928	2363
282	931	2359
283	933	2354
284	936	2348
285	938	2343
286	941	2338
287	943	2333
288	946	2328
289	948	2323
290	952	2320
291	955	2317
292	959	2314
293	961	2309
294	964	2303
295	966	2298
296	970	2298
297	973	2293
298	975	2288
299	978	2282
300	980	2277
301	983	2272
302	985	2266
303	987	2261
304	990	2256
305	992	2251
306	996	2249
307	999	2244
308	1001	2239
309	1003	2234
310	1006	2229
311	1008	2224
312	1013	2225
313	1018	2225
314	1021	2220
315	1023	2215
316	1026	2211
317	1028	2206
318	1031	2201
319	1034	2197
320	1036	2193
321	1039	2188
322	1041	2183
323	1044	2179
324	1047	2174
325	1050	2171
326	1052	2166
327	1055	2163
328	1058	2158
329	1060	2153
330	1063	2148
331	1065	2143
332	1068	2139
333	1070	2134
334	1073	2129
335	1075	2125
336	1078	2120
337	1080	2116
338	1083	2112
339	1085	2107
340	1088	2103
341	1090	2098
342	1093	2094
343	1095	2089
344	1098	2084
345	1100	2080
346	1102	2075
347	1105	2070
348	1107	2066
349	1110	2061
350	1112	2057
351	1115	2052
352	1117	2048
353	1119	2043
354	1122	2039
355	1124	2034
356	1127	2030
357	1130	2026
358	1132	2022
359	1134	2017
360	1137	2013
361	1140	2010
362	1143	2006
363	1146	2002
364	1148	1997
365	1150	1993
366	1153	1989
367	1155	1985
368	1158	1980
369	1161	1976
370	1163	1972
371	1165	1968
372	1168	1963
373	1170	1959
374	1173	1955
375	1175	1950
376	1178	1946
377	1180	1942
378	1182	1938
379	1185	1934
380	1187	1929
381	1190	1925
382	1192	1921
383	1195	1916
384	1197	1912
385	1200	1909
386	1203	1905
387	1205	1901
388	1207	1897
389	1210	1893
390	1213	1889
391	1215	1885
392	1218	1881
393	1220	1877
394	1222	1872
395	1225	1868
396	1227	1864
397	1230	1860
398	1232	1856
399	1235	1852
400	1237	1848
401	1240	1845
402	1242	1841
403	1245	1837
404	1247	1833
405	1250	1829
406	1252	1825
407	1255	1821
408	1257	1817
409	1260	1814
410	1264	1811
411	1266	1807
412	1268	1803
413	1271	1800
414	1274	1796
415	1277	1793
416	1280	1789
417	1282	1785
418	1285	1782
419	1287	1778
420	1290	1774
421	1292	1770
422	1294	1766
423	1297	1762
424	1299	1758
425	1302	1754
426	1304	1750
427	1306	1746
428	1309	1742
429	1311	1739
430	1314	1735
431	1316	1731
432	1319	1727
433	1321	1724
434	1324	1720
435	1326	1716
436	1329	1712
437	1331	1708
438	1333	1704
439	1336	1701
440	1339	1697
441	1341	1693
442	1344	1689
443	1349	1689
444	1351	1685
445	1354	1681
446	1356	1678
447	1358	1674
448	1361	1670
449	1366	1669
450	1373	1671
451	1375	1668
452	1378	1664
453	1380	1660
454	1383	1657
455	1385	1653
456	1388	1649
457	1390	1645
458	1393	1642
459	1395	1638
460	1398	1635
461	1400	1631
462	1403	1627
463	1405	1623
464	1408	1620
465	1410	1616
466	1413	1613
467	1416	1609
468	1418	1606
469	1421	1602
470	1423	1598
471	1425	1595
472	1428	1591
473	1432	1590
474	1435	1586
475	1439	1584
476	1442	1581
477	1445	1578
478	1447	1574
479	1450	1571
480	1453	1568
481	1455	1564
482	1458	1560
483	1462	1558
484	1466	1557
485	1469	1553
486	1472	1550
487	1475	1547
488	1477	1544
489	1480	1540
490	1483	1537
491	1486	1534
492	1489	1531
493	1491	1528
494	1494	1524
495	1497	1521
496	1500	1518
497	1503	1515
498	1506	1512
499	1508	1508
500	1511	1505
501	1514	1502
502	1516	1498
503	1519	1495
504	1522	1492
